model,split_mode,feature_version,n_train,n_val,train_feasible_rate,train_positive_count,train_negative_count,effective_pos_weight,best_epoch,roc_auc,pr_auc,recall_at_k,precision_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,score_spearman,composite,gap_roc_auc,gap_pr_auc,gap_recall_at_k,gap_composite,checkpoint_path
deepsets,stratified,v2,1949,344,0.2914,568,1381,2.4313,36,0.7505,0.5552,0.09,0.9,0.3647,0.6552,3.096,0.3023,0.4103,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer_v3_auto\deepsets_stratified\deepsets_best.pt
deepsets,region_holdout,v2,2012,281,0.2669,537,1475,2.7467,22,0.5932,0.5595,0.0458,0.6,0.4272,0.7504,1.287,0.2026,0.4079,0.1573,-0.0043,0.0442,0.0024,checkpoints/layout_models_transfer_v3_auto\deepsets_region_holdout\deepsets_best.pt
