model,split_mode,feature_version,n_train,n_val,train_feasible_rate,train_positive_count,train_negative_count,effective_pos_weight,best_epoch,roc_auc,pr_auc,recall_at_k,precision_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,score_spearman,composite,gap_roc_auc,gap_pr_auc,gap_recall_at_k,gap_composite,checkpoint_path
deepsets,stratified,v2,1949,344,0.2914,568,1381,2.4313,35,0.7818,0.532,0.07,0.7,0.3261,0.593,2.408,0.1525,0.3677,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer_v3_auto_seed2\deepsets_stratified\deepsets_best.pt
deepsets,region_holdout,v2,1360,933,0.2353,320,1040,3.25,3,0.6616,0.5403,0.0259,0.9,0.3339,0.567,2.4129,-0.0005,0.3372,0.1202,-0.0083,0.0441,0.0305,checkpoints/layout_models_transfer_v3_auto_seed2\deepsets_region_holdout\deepsets_best.pt
