epoch,train_l_cls,train_l_score,train_total,feas_acc,auc,roc_auc,pr_auc,score_mae,score_rmse,score_spearman,topk_hit,precision_at_k,recall_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,composite
1,0.985419897759547,0.004076072684733472,0.9894959662781387,0.7093023255813954,0.7249180327868853,0.7249180327868853,0.4396350653351482,0.07062720507383347,0.08289409428834915,0.07038703870387039,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.21065711975097656,0.3830715548364811,1.0320000410079955,0.26850704077057685
2,0.9819935638396466,0.0037040012386688565,0.9856975576916679,0.6395348837209303,0.7218032786885246,0.7218032786885246,0.46011487859977196,0.07162544876337051,0.08390720933675766,0.09182118211821182,0.5,0.5,0.05000000074505806,0.19814467430114746,0.3603181727578748,1.72,0.28029170442682233
3,0.9525878233987777,0.0038478074186924296,0.9564356305560128,0.5901162790697675,0.713155737704918,0.713155737704918,0.4715726012249739,0.06700734794139862,0.08007071912288666,0.07045904590459046,0.5,0.5,0.05000000074505806,0.07881607115268707,0.1433238760610302,1.72,0.23933972051617206
4,0.9344440034178437,0.004259062876550816,0.9387030630815224,0.6308139534883721,0.7152459016393443,0.7152459016393443,0.47430681202742186,0.06933716684579849,0.08169163018465042,-0.0027482748274827483,0.5,0.5,0.05000000074505806,0.08575793355703354,0.1559473754606112,1.72,0.23563737264386014
5,0.9313648391942508,0.003722281133198775,0.935087121900965,0.6046511627906976,0.7138524590163935,0.7138524590163935,0.4685800197935088,0.06646399199962616,0.07997174561023712,0.04673267326732673,0.5,0.5,0.05000000074505806,0.08575793355703354,0.1559473754606112,1.72,0.23829475055977586
6,0.9262566722807337,0.003898078695962541,0.9301547525358982,0.625,0.7187704918032787,0.7187704918032787,0.467149340901987,0.06615382432937622,0.07898353785276413,0.08028802880288029,0.5,0.5,0.05000000074505806,0.12127351760864258,0.2205310459278541,1.72,0.2539947486501711
7,0.9301281727728297,0.003762477748363172,0.9338906485526288,0.6627906976744186,0.7191803278688524,0.7191803278688524,0.4686422564174824,0.06814363598823547,0.08054645359516144,0.11047104710471047,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.3159410059452057,0.5745260949504214,2.064000082015991,0.331409225865217
8,0.9193551550146009,0.003651812865368289,0.9230069693971853,0.6191860465116279,0.7219672131147541,0.7219672131147541,0.4759043925374762,0.06883186846971512,0.08071719855070114,0.05854185418541854,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.12127351760864258,0.2205310459278541,2.064000082015991,0.2583221512167718
9,0.9205456082938147,0.0035919056657594856,0.9241375141456479,0.6540697674418605,0.7207377049180328,0.7207377049180328,0.466864976157787,0.06691615283489227,0.08033353835344315,0.1440984098409841,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.16725195944309235,0.3041410051986455,2.064000082015991,0.279984032084611
10,0.9183022800039072,0.0036550392415832544,0.9219573198771868,0.6482558139534884,0.7297131147540984,0.7297131147540984,0.482483460404758,0.06771589070558548,0.07975508272647858,0.09696969696969697,0.5,0.5,0.05000000074505806,0.21731331944465637,0.3951755880112165,1.72,0.29672547168463365
11,0.9064466337688634,0.003650536216780177,0.9100971710486491,0.6075581395348837,0.7340983606557377,0.7340983606557377,0.4887202984957916,0.06797850877046585,0.07990770787000656,0.011245124512451245,0.5,0.5,0.05000000074505806,0.15786319971084595,0.2870679207813262,1.72,0.2690262162293444
12,0.9040925209639502,0.003552167865325559,0.9076446851745981,0.6511627906976745,0.7446721311475409,0.7446721311475409,0.4925874516511221,0.06855085492134094,0.08055517822504044,0.12426042604260426,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.26552218198776245,0.48284147821761775,1.3760000205039977,0.31802931864001194
13,0.8971842625102059,0.003493535559487025,0.9006777943157759,0.6308139534883721,0.7477049180327869,0.7477049180327869,0.5101875270790434,0.06851658970117569,0.08021513372659683,0.07776777677767777,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.2609938979148865,0.47460697457212764,2.064000082015991,0.32477318302147934
14,0.8955594819100177,0.0035050228375514024,0.8990645115492774,0.5668604651162791,0.7418442622950819,0.7418442622950819,0.5156236528726322,0.06981315463781357,0.0818093940615654,0.029678967896789678,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.13947436213493347,0.25362855443013194,1.3760000205039977,0.2719430685565373
15,0.888077929371693,0.00343318291573373,0.8915111119629907,0.6598837209302325,0.7580327868852459,0.7580327868852459,0.5400910291059609,0.06735611706972122,0.07899069786071777,0.09083708370837083,0.699999988079071,0.699999988079071,0.07000000029802322,0.29597553610801697,0.5382196858311195,2.4079999589920043,0.35376405726885235
16,0.8787188412713223,0.003397106488815463,0.8821159493727763,0.5813953488372093,0.7527049180327869,0.7527049180327869,0.5416638169376554,0.06692144274711609,0.07889571785926819,0.04430843084308431,0.699999988079071,0.699999988079071,0.07000000029802322,0.1416163146495819,0.25752360948994785,2.4079999589920043,0.29360109184676714
17,0.8873209963079358,0.0034326851219091503,0.8907536795881928,0.6598837209302325,0.7569262295081968,0.7569262295081968,0.5362062471921341,0.06641151756048203,0.07807328552007675,0.0855925592559256,0.699999988079071,0.699999988079071,0.07000000029802322,0.2199762761592865,0.4000180683904294,2.4079999589920043,0.32404536856993904
18,0.8686913027138007,0.003307071419005267,0.8719983716480068,0.627906976744186,0.7685655737704918,0.7685655737704918,0.5343513462768177,0.06545315682888031,0.0772455632686615,0.1173957395739574,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.2555990219116211,0.46479660812847784,2.064000082015991,0.33643943369148704
19,0.8603556009589649,0.0034370570134402054,0.8637926539436716,0.6715116279069767,0.7590983606557377,0.7590983606557377,0.5388281286975981,0.06620463728904724,0.0772392600774765,0.1781098109810981,0.800000011920929,0.800000011920929,0.07999999821186066,0.16132184863090515,0.2933573356418674,2.7520000410079954,0.31601369916908073
20,0.8618355823344872,0.003444358576699847,0.8652799432394934,0.6453488372093024,0.7654098360655738,0.7654098360655738,0.5189508464346112,0.06602320820093155,0.07676976174116135,0.1626882688268827,0.699999988079071,0.699999988079071,0.07000000029802322,0.23120443522930145,0.4204360270048191,2.4079999589920043,0.32893637094690353
21,0.8498420764188297,0.0032902179556883503,0.8531322967810709,0.6511627906976745,0.7503278688524591,0.7503278688524591,0.5369942657665201,0.07081227004528046,0.08226902037858963,0.1563996399639964,0.800000011920929,0.800000011920929,0.07999999821186066,0.19690974056720734,0.3580724951081486,2.7520000410079954,0.32605216878819565
22,0.8515681526700004,0.0033290885554886135,0.8548972421005124,0.6831395348837209,0.7669262295081967,0.7669262295081967,0.5231304550977538,0.06605619192123413,0.07717124372720718,0.1644044404440444,0.800000011920929,0.800000011920929,0.07999999821186066,0.23893709480762482,0.43449755946662805,2.7520000410079954,0.3365921374403898
23,0.8392305970191956,0.0033019234075165184,0.8425325204114444,0.6133720930232558,0.7683196721311475,0.7683196721311475,0.5425869585695215,0.06712809205055237,0.07786600291728973,0.17285328532853286,0.699999988079071,0.699999988079071,0.07000000029802322,0.22762055695056915,0.4139188875594417,2.4079999589920043,0.33810388956195725
24,0.8423924797871074,0.0032943289204057855,0.8456868079842114,0.6337209302325582,0.771844262295082,0.771844262295082,0.5233953609910156,0.06648140400648117,0.077301986515522,0.08146414641464146,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.2236516922712326,0.40670166572784017,2.064000082015991,0.3168448917811071
25,0.8382247666843602,0.0033526521912760664,0.8415774204691903,0.6715116279069767,0.7656147540983607,0.7656147540983607,0.5085729709602975,0.06636327505111694,0.07691619545221329,0.15896789678967896,0.699999988079071,0.699999988079071,0.07000000029802322,0.18304425477981567,0.33285866324042873,2.4079999589920043,0.30689771080057965
26,0.8349671246575527,0.0032988305129187153,0.8382659544710254,0.622093023255814,0.7640573770491803,0.7640573770491803,0.5444231219742356,0.06801602244377136,0.07861346006393433,0.1375937593759376,0.800000011920929,0.800000011920929,0.07999999821186066,0.26216524839401245,0.47673702861363204,2.7520000410079954,0.3508760299135726
27,0.830860179955842,0.003218205781180228,0.8340783822731893,0.688953488372093,0.7730327868852459,0.7730327868852459,0.5110858426731772,0.06667334586381912,0.07674138247966766,0.2195979597959796,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.17871949076652527,0.32499425269104665,2.064000082015991,0.30939298318474684
