variant,reference_only,disable_relation,disable_sequence,relation_variant,roc_auc,pr_auc,precision_at_k,recall_at_k,enrichment,score_spearman,score_pearson,score_kendall_tau,score_mae,score_rmse,true_score_std,predicted_score_std,predicted_true_std_ratio,regression_slope,composite,best_epoch,parameter_count,training_time_seconds,checkpoint,feature_version
DeepSets-reference,True,False,False,reference,0.7504508196721311,0.55515592958852,0.8999999761581421,0.09000000357627869,3.0959999179840088,0.3023222322232223,0.3710475741078037,0.2034754495857749,0.06645002637944071,0.07610907285546528,0.08036356907449997,0.028961660340428352,0.36038295304654566,0.13371922253104884,0.410334292195487,36,70146,58.052873373031616,D:\Project\wrs-sealp\checkpoints\layout_models_repro\deepsets\stratified\seed0\deepsets_best.pt,v2
SeqRel-full-reference,True,False,False,reference,0.6720491803278689,0.46431897456761273,0.800000011920929,0.07999999821186066,2.7520000410079954,0.17034503450345034,0.18322626473138512,0.11456859971711457,0.06795172940055405,0.07923168399733412,0.08036356907449997,0.013910607434809208,0.1730959388067193,0.03171572300990262,0.31142274366796435,78,66056,272.00285816192627,D:\Project\wrs-sealp\checkpoints\layout_models_repro\seqrel\stratified\seed0\seqrel_best.pt,v2
no_relation,False,True,False,no_relation,0.7022131147540983,0.4791949758473473,0.699999988079071,0.07000000029802322,2.4079999589920043,0.08331233123312332,0.21490904637700103,0.061224489795918366,0.06750528060499267,0.07858788468195109,0.08036356907449997,0.013921105302870274,0.173226568496042,0.037227957549166364,0.31570897999879544,101,23176,102.03401184082031,D:\Project\wrs-sealp\checkpoints\layout_models_repro\seqrel_structure_ablation\no_relation\seqrel_best.pt,v2
no_sequence,False,False,True,no_sequence,0.6664344262295082,0.4612302843357357,0.699999988079071,0.07000000029802322,2.4079999589920043,0.07252325232523252,0.1436632795517382,0.04829258436047686,0.06853193097416,0.0797499408192339,0.08036356907449997,0.013187658041715622,0.16409995466341445,0.023575137399729343,0.33875133392051965,71,66056,93.07926344871521,D:\Project\wrs-sealp\checkpoints\layout_models_repro\seqrel_structure_ablation\no_sequence\seqrel_best.pt,v2
 
