epoch,train_l_cls,train_l_score,train_total,feas_acc,auc,roc_auc,pr_auc,score_mae,score_rmse,score_spearman,topk_hit,precision_at_k,recall_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,composite
1,0.9850026417951114,0.0041327566656543585,0.9891354041021378,0.29069767441860467,0.6359426229508197,0.6359426229508197,0.3878942428111788,0.06999024003744125,0.0816020518541336,0.2086048604860486,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.04499787837266922,0.08083868330471627,1.0320000410079955,0.20118591963285395
2,0.9825586979506445,0.003944470993716453,0.9865031691848255,0.6976744186046512,0.6313114754098361,0.6313114754098361,0.3639999811040447,0.07032553851604462,0.08227401971817017,0.24354035403540353,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.10214171558618546,0.1834975802656327,1.0320000410079955,0.21565354369711912
3,0.9772027046954046,0.004337375493124738,0.9815400789995663,0.7093023255813954,0.629344262295082,0.629344262295082,0.3606557862589543,0.10659544169902802,0.1266266107559204,0.23326732673267328,0.20000000298023224,0.20000000298023224,0.019999999552965164,0.09400443732738495,0.16887896081256387,0.6880000102519989,0.20736483920525137
4,0.9775042778155842,0.004646834107230372,0.9821511086870413,0.5,0.6387704918032787,0.6387704918032787,0.36730412001894047,0.07116790115833282,0.08249121159315109,-0.14783078307830783,0.20000000298023224,0.20000000298023224,0.019999999552965164,0.11057953536510468,0.1986561225249188,0.6880000102519989,0.17786979407061873
5,0.931037820753504,0.003987712029856248,0.9350255327146562,0.5319767441860465,0.6428688524590164,0.6428688524590164,0.37098008601868926,0.06785950809717178,0.07956738024950027,0.02888688868886889,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.15314032137393951,0.27511656967919446,1.0320000410079955,0.2153040370110358
6,0.9135707411609713,0.0034742134415208683,0.9170449561760073,0.502906976744186,0.6475,0.6475,0.3749456871990579,0.06934038549661636,0.08034908026456833,-0.0484008400840084,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.1925140619277954,0.3458514900413167,1.0320000410079955,0.22330848867832
7,0.9153735315213438,0.003543697909230641,0.9189172260096816,0.5988372093023255,0.6447540983606558,0.6447540983606558,0.37093944563832687,0.06823880225419998,0.08092041313648224,-0.03487548754875488,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.16705720126628876,0.3001182428000923,1.0320000410079955,0.21391187785930804
8,0.9072509710905982,0.0035589543365888666,0.9108099282764998,0.48255813953488375,0.6526639344262295,0.6526639344262295,0.38502387095198154,0.06796437501907349,0.078663669526577,0.0659105910591059,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.18690630793571472,0.33577716064155755,1.0320000410079955,0.23675603941384904
9,0.9021113387873916,0.0035402616008841357,0.9056515977030895,0.5843023255813954,0.6529098360655737,0.6529098360655737,0.3873626088162624,0.06652256846427917,0.0780014842748642,0.018553855385538554,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0782066211104393,0.14049818580154805,1.0320000410079955,0.19390006602420273
10,0.9068527847039894,0.0037150334463775404,0.9105678210492993,0.5319767441860465,0.6572540983606557,0.6572540983606557,0.39208404968003374,0.06868215650320053,0.08085036277770996,0.06703870387038705,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.10217946767807007,0.18356540189434764,1.0320000410079955,0.20925057043675604
