model,split_mode,n_runs,composite_mean,composite_std,composite_max,roc_auc_mean,roc_auc_std,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_max,precision_at_k_mean,precision_at_k_std,precision_at_k_max,recall_at_k_mean,recall_at_k_std,recall_at_k_max,enrichment_mean,enrichment_std,enrichment_max,score_spearman_mean,score_spearman_std,score_spearman_max,score_mae_mean,score_mae_std,score_mae_max,score_rmse_mean,score_rmse_std,score_rmse_max,seed1_composite,seed1_pr_auc,seed2_composite,seed2_pr_auc
deepsets,region_holdout,2,0.4168,0.0796,0.4963,0.6381,0.0235,0.6616,0.5232,0.0171,0.5403,0.75,0.15,0.9,0.2272,0.2014,0.4286,2.7493,0.3364,3.0857,0.2448,0.2453,0.4901,0.0745,0.0025,0.077,0.0863,0.002,0.0883,0.4963,0.5061,0.3372,0.5403
deepsets,seed_holdout,2,0.484,0.0126,0.4967,0.8001,0.0065,0.8066,0.7298,0.0132,0.743,0.85,0.05,0.9,0.085,0.005,0.09,2.074,0.122,2.196,0.3875,0.036,0.4235,0.0612,0.0003,0.0615,0.0725,0.0001,0.0726,0.4714,0.743,0.4967,0.7166
deepsets,stratified,2,0.38,0.0123,0.3923,0.7764,0.0055,0.7818,0.5479,0.0159,0.5639,0.75,0.05,0.8,0.075,0.005,0.08,2.58,0.172,2.752,0.1911,0.0386,0.2297,0.0664,0.0003,0.0667,0.0785,0.0016,0.0801,0.3923,0.5639,0.3677,0.532
mlp,region_holdout,2,0.4017,0.0703,0.472,0.5938,0.0064,0.6003,0.4736,0.0053,0.4789,0.65,0.15,0.8,0.19,0.1671,0.3571,2.3581,0.2133,2.5714,0.3004,0.26,0.5604,0.0694,0.0051,0.0745,0.0802,0.0078,0.088,0.472,0.4683,0.3314,0.4789
mlp,seed_holdout,2,0.4574,0.0335,0.4909,0.7602,0.0685,0.8287,0.6549,0.092,0.7469,0.8,0.1,0.9,0.08,0.01,0.09,1.952,0.244,2.196,0.1137,0.0037,0.1174,0.066,0.0008,0.0668,0.0778,0.0012,0.079,0.4909,0.7469,0.4239,0.563
mlp,stratified,2,0.3619,0.0152,0.3771,0.7357,0.0141,0.7498,0.4905,0.0257,0.5163,0.55,0.05,0.6,0.055,0.005,0.06,1.892,0.172,2.064,0.159,0.0165,0.1755,0.0668,0.002,0.0688,0.0804,0.0028,0.0832,0.3771,0.5163,0.3467,0.4648
seqrel,region_holdout,2,0.312,0.0434,0.3554,0.5986,0.0616,0.6602,0.3785,0.1635,0.5419,0.5,0.3,0.8,0.0829,0.0599,0.1429,1.5867,0.5581,2.1448,0.2671,0.2802,0.5473,0.0838,0.0078,0.0916,0.0969,0.0055,0.1025,0.2685,0.215,0.3554,0.5419
seqrel,seed_holdout,2,0.4352,0.0339,0.4691,0.7593,0.0056,0.7649,0.6938,0.004,0.6978,0.9,0.0,0.9,0.09,0.0,0.09,2.196,0.0,2.196,-0.0149,0.0784,0.0635,0.0647,0.0012,0.0659,0.0765,0.0011,0.0776,0.4013,0.6978,0.4691,0.6898
seqrel,stratified,2,0.3203,0.0214,0.3417,0.7326,0.0016,0.7342,0.4904,0.0357,0.526,0.6,0.2,0.8,0.06,0.02,0.08,2.064,0.688,2.752,0.1366,0.0293,0.1659,0.0709,0.0013,0.0722,0.0839,0.0023,0.0862,0.3417,0.526,0.2988,0.4547
