iter,fidelity,score_f1,score_f2,score_f3,feasible,failure_mode,elapsed_s,seat_x,seat_y,seat_rot,leg_bl_x,leg_bl_y,leg_bl_rot,leg_br_x,leg_br_y,leg_br_rot,leg_fl_x,leg_fl_y,leg_fl_rot,leg_fr_x,leg_fr_y,leg_fr_rot
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.33848978902088567,-0.12715279833041052,0,0.37859553321469575,0.29663125308040905,0,0.1952698983064799,-0.541672988827727,0,0.2069833793857874,0.3041930455291938,1,0.2377139501798458,-0.6458296460218557,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0011026859283447266,0.2573825208500835,-0.1788450983245675,0,0.5073537767544682,0.14918934455359484,0,0.26248314772883125,-0.7497786908020729,1,0.4507735649711429,0.23644136566458582,1,0.5492309517576857,-0.417120187192028,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.3551903363269162,-0.09944604516536298,0,0.3489439118198989,0.27598693045825623,1,0.5000856680193444,-0.604661296451741,0,0.23818491761371827,0.16329831424625338,1,0.23128394830353852,-0.9122595446583562,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.3745717781884602,-0.11946617985615302,0,0.25575927947115806,0.12143430045326035,1,0.47195395057059414,-0.917569432090382,0,0.2780748471180182,0.31451421677555735,0,0.41472181358710514,-0.47780673057911865,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.30632029658296617,-0.18319285367702934,0,0.2925631331514487,0.2671672117234555,1,0.38344515094444986,-0.6322012076492827,1,0.3224458639632247,0.1334400280355719,1,0.5016750826586694,-0.8770164737937077,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.001004934310913086,0.32254267699407513,-0.1968200879247385,0,0.40454205675204025,0.2414654377996448,1,0.20375231355914972,-0.8718222629454685,1,0.2344010044330168,0.17892970286957016,0,0.34669847073293225,-0.5704599767298497,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.29654073798256275,-0.2112499494181575,0,0.34281636650842595,0.18471786192929657,1,0.5149687728090848,-0.4170237203522857,0,0.5409045374649796,0.27325244097196183,0,0.2822141420747354,-0.8366606106873842,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.33566018804522973,-0.1595652484129162,0,0.24997855399005187,0.17433648901005586,1,0.3033151763597514,-0.7972717050344567,0,0.37377213114522223,0.07454982617425218,0,0.42356928734727006,-0.5008379369117292,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0009980201721191406,0.26663348634732403,-0.06763255066447613,0,0.4750015116165071,0.19329397927945222,0,0.5331731651532796,-0.8437286355928068,1,0.45998076104345287,0.2846149757335158,0,0.3277989696069618,-0.7732668267002051,1
0,0,-1000000.0,,,0,AABB_COLLISION,0.0,0.22224448707958497,-0.024287673019564616,0,0.19091641135737114,0.12623563674675078,1,0.38403650059135847,-0.4901180564463212,0,0.5001370464478958,0.06556274031241607,0,0.39902279999652324,-0.7882564933149088,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.2507463618609865,-0.10950745802024797,0,0.20989907298832755,0.20522678236603012,1,0.4416459152150993,-0.4494156471757899,0,0.2653032778720801,0.2632501726423374,0,0.5156195354163732,-0.7496215064089397,1
0,0,-1000000.0,,,0,AABB_COLLISION,0.0,0.34936253119444827,-0.04476246997354141,0,0.4309515966989338,0.24944159110698588,0,0.3316667873106002,-0.9228681122726774,1,0.33561851074492244,0.1173141778003968,1,0.3352626043965782,-0.706378706614716,0
0,0,-1000000.0,,,0,AABB_COLLISION,0.0,0.36491505169244715,-0.08166541378535801,0,0.4476207359316697,0.2227942081018319,1,0.41414098739760563,-0.7870417055204048,0,0.4060261378093608,0.19764797681154048,0,0.4714736191056236,-0.5380048585607843,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.00099945068359375,0.22946765598230393,-0.050751580748226,0,0.5271325943413472,0.08339017945074106,0,0.309600460754163,-0.601131071675574,0,0.3523652662332819,0.2164687730071515,1,0.20718255578539463,-0.6250071740666798,0
0,0,-1000000.0,,,0,AABB_COLLISION,0.0,0.23889201783282735,-0.03156424999390746,0,0.22610484223487845,0.09379471264331872,1,0.2282096235603413,-0.5017607326775011,0,0.18774040806921363,0.14416372155386187,1,0.257347151215639,-0.8434617746608215,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.3181238810023483,-0.14020429229930337,0,0.49322788154954555,0.3085565297537386,0,0.27691323558313236,-0.685990677101586,1,0.5171734795596552,0.10644195075142444,0,0.2918260167397382,-0.5963294206446467,0
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0011107921600341797,0.2812182341629635,-0.16220522361549614,0,0.274666424341722,0.061140215788249644,0,0.4215588011584794,-0.8197744771412231,1,0.3014667888759499,0.25112602274133067,0,0.3704031072171943,-0.6690097755723619,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.3877823549589386,-0.2022100353283986,0,0.321670479751584,0.10444190557581637,1,0.25266422354720397,-0.7145391405322963,0,0.48798705804246,0.17248162587950858,1,0.44984924633101064,-0.45692781368340274,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.3922109755266746,-0.07463931898994147,0,0.545824958065747,0.2897260018971308,1,0.4889152456373044,-0.6597935341126702,0,0.426349972136135,0.21323661411960756,1,0.4775561446766116,-0.9405428387927879,1
0,1,-1000000.0,,,0,RMAP_INFEASIBLE,0.0,0.28762800732691635,-0.1314242776966518,0,0.3896723083837796,0.1626787614795462,0,0.34724280834951815,-0.5706527787600293,1,0.39365918100268205,0.09160843448973045,1,0.19560639247179154,-0.7181039127543511,1
