epoch,train_l_cls,train_l_score,train_total,feas_acc,auc,roc_auc,pr_auc,score_mae,score_rmse,score_spearman,topk_hit,precision_at_k,recall_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,composite
1,0.9861882729608504,0.004273741740779188,1.0075569739107226,0.29069767441860467,0.6465163934426229,0.6465163934426229,0.38513198750162236,0.06949370354413986,0.08045368641614914,0.04619261926192619,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0,0.0,1.0320000410079955,0.16767205672567587
2,0.9850825677152539,0.004014235218895264,1.0051537429700133,0.7093023255813954,0.6384426229508197,0.6384426229508197,0.3732952862919027,0.06956823170185089,0.08036347478628159,-0.002724272427242724,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.041875556111335754,0.0752294317224793,1.3760000205039977,0.17609157335031175
3,0.983209966636095,0.0039640958230087505,1.0030304457320542,0.7093023255813954,0.6546311475409836,0.6546311475409836,0.3930049541152767,0.07014742493629456,0.08173877000808716,0.08127212721272127,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.09457926452159882,0.16991163780064644,1.0320000410079955,0.2083115217263464
4,0.981323631083379,0.00403976635282218,1.001522460921866,0.7093023255813954,0.6545901639344263,0.6545901639344263,0.39823683539147425,0.06951969861984253,0.08031485974788666,0.05268526852685269,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.24945013225078583,0.44813713380737535,1.0320000410079955,0.26319068756958436
5,0.9827689186471408,0.0039844489141107825,1.0026911575286115,0.7093023255813954,0.6629098360655737,0.6629098360655737,0.41235272218276275,0.06959454715251923,0.08102960884571075,0.08501650165016501,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.14572028815746307,0.2617864808619062,1.0320000410079955,0.23480003500933716
6,0.9779954181342828,0.003908487954787666,0.9975378552421195,0.5552325581395349,0.6602459016393443,0.6602459016393443,0.41348623412277974,0.06939218193292618,0.08073374629020691,0.04828082808280828,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.24796481430530548,0.4454687602896935,1.3760000205039977,0.27131632824711055
7,0.9580266690645062,0.003997492277613062,0.9780141320384916,0.5436046511627907,0.6586065573770492,0.6586065573770492,0.41079224445643986,0.06944706290960312,0.08072114735841751,0.09125712571257126,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0,0.0,1.0320000410079955,0.1824426101526674
8,0.9399626792454329,0.003726493876396877,0.9585951517839901,0.5697674418604651,0.655655737704918,0.655655737704918,0.408097669729124,0.06938822567462921,0.07999811321496964,-0.036771677167716774,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0,0.0,1.3760000205039977,0.17156189990665702
9,0.9389263704174855,0.003959118256910292,0.9587219650628137,0.5726744186046512,0.6572131147540984,0.6572131147540984,0.4139391415183134,0.0693979561328888,0.08057557791471481,0.027302730273027303,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.05067235231399536,0.09103287508559686,1.3760000205039977,0.19851250438352655
10,0.9371539285925569,0.003831435849920648,0.9563111057046985,0.5755813953488372,0.6582786885245901,0.6582786885245901,0.4149594283575797,0.06970449537038803,0.08163071423768997,0.0037803780378037805,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.05044008418917656,0.09061560542615861,1.3760000205039977,0.19648492996382308
11,0.9410595630036026,0.0038784026210272656,0.9604515775305326,0.5755813953488372,0.6597131147540983,0.6597131147540983,0.4150156914639717,0.0711265504360199,0.08398988097906113,-0.009852985298529853,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0,0.0,1.3760000205039977,0.1770209777875148
12,0.9404748902946222,0.0038877008654574145,0.9599133974216023,0.5668604651162791,0.6596311475409836,0.6596311475409836,0.4173057774930003,0.06943582743406296,0.08104483038187027,-0.03161116111611161,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.03520697355270386,0.0632493239253076,1.3760000205039977,0.18841105940242958
13,0.9288697770384492,0.0037716980050241603,0.9477282694128694,0.5784883720930233,0.6605327868852459,0.6605327868852459,0.417180515242337,0.07123170047998428,0.08461343497037888,0.014665466546654666,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.05044008418917656,0.09061560542615861,1.3760000205039977,0.1984618735686111
14,0.9339712438036184,0.0039086610176142485,0.9535145495758682,0.561046511627907,0.6573360655737704,0.6573360655737704,0.42304871656026616,0.06995785981416702,0.08104967325925827,0.03919591959195919,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1275278478860855,0.2291037640133914,1.3760000205039977,0.23095983111775975
