epoch,train_l_cls,train_l_score,train_l_rank,train_l_fail,train_total,feas_acc,auc,roc_auc,pr_auc,score_mae,score_rmse,score_spearman,topk_hit,precision_at_k,recall_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,composite
1,1.0041788865308292,0.005775361949745871,0.01190498123159174,0.5383029684546541,1.1235673359183014,0.29069767441860467,0.5857786885245901,0.5857786885245901,0.3247771560989685,0.06957608461380005,0.08038579672574997,0.14017401740174018,0.10000000149011612,0.10000000149011612,0.009999999776482582,0.0,0.0,0.34400000512599943,0.1469282641127062
2,0.9995411351078847,0.0059613437161849595,0.008676135515580411,0.04696513007043815,1.019233576586989,0.7093023255813954,0.6322540983606557,0.6322540983606557,0.37725360007684977,0.0694832131266594,0.08062324672937393,0.14517851785178518,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.15169164538383484,0.2725140234301174,1.3760000205039977,0.231922096233721
3,0.9922983353255225,0.005311580764160293,0.016062654860195567,0.024484626338130137,1.0105381647094351,0.7093023255813954,0.6475409836065574,0.6475409836065574,0.38677908114126425,0.07052997499704361,0.08237847685813904,0.08646864686468647,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0877317488193512,0.1576100766316141,1.0320000410079955,0.20388051226813148
4,0.9956631455265108,0.0046670255022215066,0.009000112226263422,0.021180792986491663,1.0090663843467587,0.7093023255813954,0.6566803278688524,0.6566803278688524,0.3977705913483416,0.0695594847202301,0.08056416362524033,-0.0845004500450045,0.20000000298023224,0.20000000298023224,0.019999999552965164,0.0,0.0,0.6880000102519989,0.15665819140072576
5,0.9888769251401307,0.0047752953661208755,0.011251720431886736,0.0173563481705477,1.002749342410291,0.7093023255813954,0.6604918032786885,0.6604918032786885,0.4083387204323611,0.0694713145494461,0.08046641945838928,-0.017005700570057007,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.13265010714530945,0.23830590218158904,1.0320000410079955,0.21829609835109087
6,0.9841776021191331,0.0049563579654443215,0.01608576396571808,0.011655471467061853,0.9995079382521207,0.5552325581395349,0.6607786885245902,0.6607786885245902,0.41297660512272305,0.07167551666498184,0.08442702144384384,-0.0625982598259826,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0,0.0,1.0320000410079955,0.1679308158653253
7,0.9770991079142837,0.004523809877086858,0.012496629668796649,0.009725831441398039,0.9898163920543233,0.5377906976744186,0.6605327868852459,0.6605327868852459,0.4150230106207976,0.06951688230037689,0.08042018115520477,0.014233423342334234,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0854792594909668,0.1535634798130602,1.3760000205039977,0.2101452422769436
8,0.9529141353779151,0.0044615337506822145,0.01355933849928809,0.007744986098259687,0.965704330655395,0.563953488372093,0.6593442622950819,0.6593442622950819,0.42347856960222896,0.06932315230369568,0.08056382834911346,0.01824182418241824,0.5,0.5,0.05000000074505806,0.13228246569633484,0.23764543436092403,1.72,0.23374469735483566
9,0.9430385759619416,0.004637184082415932,0.011858887604025543,0.005155091061348431,0.9546362269120138,0.5813953488372093,0.6595901639344263,0.6595901639344263,0.418646925912588,0.07146014273166656,0.08483251929283142,0.039075907590759074,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1930190771818161,0.34675874988689703,1.3760000205039977,0.2527181108332696
10,0.9410201653105313,0.004229588988504266,0.007464952583684296,0.005254358473065935,0.9500331018791824,0.5784883720930233,0.6590573770491803,0.6590573770491803,0.4187308658681352,0.06954852491617203,0.08088263124227524,0.04072007200720072,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0,0.0,1.3760000205039977,0.18356435327975323
11,0.9416057643343191,0.0041861304093427105,0.010495557953588298,0.006960962299776614,0.9524318761512881,0.5813953488372093,0.6600409836065574,0.6600409836065574,0.4192732298098077,0.07197554409503937,0.08514577150344849,0.02256225622562256,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0,0.0,1.3760000205039977,0.18196551727826443
12,0.9426741609807874,0.004117417078633167,0.007697104919152182,0.007055970412663749,0.9520513219911544,0.563953488372093,0.6561475409836065,0.6561475409836065,0.41317755665861083,0.07083737105131149,0.08358234912157059,0.0042964296429642964,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0,0.0,1.3760000205039977,0.17770066535951987
13,0.9411608019813162,0.0040281735041911605,0.005335595519816289,0.006647664866578139,0.949186312370613,0.5755813953488372,0.6560245901639344,0.6560245901639344,0.4079791493575045,0.07218510657548904,0.08596815913915634,0.06780678067806781,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.15478041768074036,0.27806300250513044,1.3760000205039977,0.23758493804361377
14,0.9343042451827253,0.004397300650274045,0.0076535289771244176,0.005726257613936409,0.9436735696479922,0.5581395348837209,0.6538934426229508,0.6538934426229508,0.408874627713562,0.06945145130157471,0.0804944559931755,0.08181218121812181,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.13631941378116608,0.24489781112954667,1.3760000205039977,0.23271063116492544
15,0.9345531717675631,0.004113207870834797,0.008179780095815659,0.003471805027029553,0.9434506316654018,0.5697674418604651,0.6549590163934427,0.6549590163934427,0.4093532208284709,0.06970033794641495,0.08177870512008667,0.09568556855685569,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.10021476447582245,0.18003581281819414,1.3760000205039977,0.2213170074824919
16,0.9351281728900847,0.004545578111886795,0.010511120323274956,0.002224750819684724,0.9453742582289899,0.5872093023255814,0.6543442622950819,0.6543442622950819,0.41103763979784325,0.06991121917963028,0.08108623325824738,-0.04228022802280228,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.20344185829162598,0.3654832749481065,1.3760000205039977,0.24528368783825744
17,0.9334853271969029,0.004065623625227418,0.008401514137866066,0.0032180633231783744,0.9423953177498989,0.5523255813953488,0.6543032786885246,0.6543032786885246,0.41540438215703485,0.07023508846759796,0.08099791407585144,0.09104110411041104,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1275278627872467,0.22910379078332577,1.3760000205039977,0.2330866211622993
18,0.9318193353590418,0.004125081619140921,0.009170767225202967,0.003932604371554783,0.9413163251564151,0.5697674418604651,0.655327868852459,0.655327868852459,0.4212480720286796,0.07109928131103516,0.0835605263710022,0.06796279627962797,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.07269395887851715,0.13059468873794217,1.3760000205039977,0.21341444591880218
19,0.9319796083403415,0.004165371696724266,0.010212849275987656,0.0024089988819170805,0.9417332039504754,0.5813953488372093,0.6558606557377049,0.6558606557377049,0.4138912389329999,0.0695028230547905,0.08085384219884872,-0.033327332733273325,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.05338386818766594,0.09590411303979565,1.3760000205039977,0.19340458463961085
20,0.9270882108172432,0.003936639679672166,0.008741726335443433,0.0028780205690561505,0.9359713079499417,0.5872093023255814,0.6570491803278689,0.6570491803278689,0.4154708833715827,0.06928639113903046,0.08071660250425339,-0.008484848484848486,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.050956469029188156,0.09154329073165979,1.3760000205039977,0.1956485263782593
21,0.9206026860925017,0.004031471793585625,0.009108072971222831,0.002769745759414051,0.9297421349853766,0.563953488372093,0.6562704918032787,0.6562704918032787,0.4228944948950777,0.06906957179307938,0.08033853769302368,0.005556555655565556,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.23434707522392273,0.4210044936011826,1.3760000205039977,0.26591435197560326
22,0.9214918437551279,0.0037700864438685116,0.009253089911625033,0.0011713230933757407,0.9301227399560271,0.5813953488372093,0.6565163934426229,0.6565163934426229,0.4226023301506422,0.0691884458065033,0.08098936825990677,-0.019597959795979596,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.050672005861997604,0.09103225268462287,1.3760000205039977,0.19728758634936258
23,0.9173810902189036,0.003946981745863669,0.008298102583064407,0.0014028200415940192,0.9257576875999326,0.5755813953488372,0.6554508196721311,0.6554508196721311,0.42159143312250763,0.06925954669713974,0.08124104142189026,-0.020486048604860484,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.18167568743228912,0.32638035151065414,1.3760000205039977,0.2438640384224269
24,0.921245626738814,0.0038741210601521566,0.007453594234634618,0.001392021989946055,0.9291249513626099,0.5843023255813954,0.656188524590164,0.656188524590164,0.42233825521166324,0.06966395676136017,0.08193431794643402,-0.012649264926492649,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.06031597778201103,0.10835764712622077,1.3760000205039977,0.2013419047490393
25,0.920443835805674,0.0039284385923967985,0.009418693905482526,0.0016204332789696264,0.9294056960793792,0.5581395348837209,0.6558606557377049,0.6558606557377049,0.4274389806345969,0.06908262521028519,0.08038330078125,-0.0011761176117611762,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.2352403700351715,0.4226092976265241,1.3760000205039977,0.26737983974974655
26,0.9205118065974751,0.0039050680800860166,0.009569706181522275,0.0024854138939160485,0.9296988121798782,0.5581395348837209,0.656188524590164,0.656188524590164,0.42687941975951876,0.06930366158485413,0.08044253289699554,0.0030963096309630962,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.18167568743228912,0.32638035151065414,1.3760000205039977,0.24833746890081373
27,0.9181698668198507,0.004042890628983007,0.014842805132025579,0.0024779810971908697,0.9301297537616042,0.5552325581395349,0.6565573770491804,0.6565573770491804,0.43524920733169903,0.06934294104576111,0.08133357763290405,-0.018841884188418843,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.13928870856761932,0.2502321488708174,1.3760000205039977,0.23426192401978033
28,0.9240817056327569,0.003706511840048689,0.010133531555289128,0.002061939855071823,0.9332673725534658,0.5668604651162791,0.656844262295082,0.656844262295082,0.4265864569025779,0.06900812685489655,0.0812404602766037,0.058397839783978396,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.2911010980606079,0.5229630890790982,1.3760000205039977,0.29306698428702777
29,0.9163887285795368,0.003780577321284924,0.015599512235551585,0.002246915696753708,0.9284184487139593,0.5901162790697675,0.6574590163934426,0.6574590163934426,0.42669379603014607,0.0695151537656784,0.08230579644441605,0.09281728172817282,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.3074530363082886,0.5523393442543958,1.3760000205039977,0.302427115167534
30,0.9113603165892304,0.0038361312672648517,0.01644967404789612,0.0013900613832119547,0.9236992998201339,0.5726744186046512,0.657827868852459,0.657827868852459,0.4267909164712099,0.069188691675663,0.08162243664264679,0.07527152715271528,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1758849322795868,0.3159772605469526,1.3760000205039977,0.25343897114492514
31,0.9094241623018609,0.0039930989790219265,0.014716604022217578,0.0013594463983833118,0.9210474491119385,0.561046511627907,0.6576639344262295,0.6576639344262295,0.43441208926910213,0.06924807280302048,0.0814276784658432,0.022106210621062106,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.03658733144402504,0.06572913671780259,1.3760000205039977,0.20112128384508668
32,0.9167260967317175,0.0038247597833225106,0.009848723829281135,0.0020766967996290776,0.9258905590557661,0.5523255813953488,0.6570081967213115,0.6570081967213115,0.43042043726075047,0.06917499005794525,0.08150576055049896,0.04576057605760576,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1758849322795868,0.3159772605469526,1.3760000205039977,0.2519396843512304
33,0.9093834699177351,0.0038443767603059285,0.006184636630484315,0.0014496357938786205,0.9166100914361047,0.561046511627907,0.6586885245901639,0.6586885245901639,0.42910713155231117,0.06916791200637817,0.08158227801322937,0.02061806180618062,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.20402836799621582,0.3665369395647316,1.3760000205039977,0.25901204644626796
34,0.9186053022009427,0.003907624259972793,0.009167626469594533,0.001044565642259244,0.9273056554012611,0.5406976744186046,0.6582786885245901,0.6582786885245901,0.4369293072475743,0.06921576708555222,0.08045011013746262,-0.01144914491449145,0.5,0.5,0.05000000074505806,0.13323543965816498,0.23935745197339925,1.72,0.23649829902577785
35,0.9143352029753513,0.0038873360675500063,0.008283726016028982,0.002615453353815819,0.9228874943295463,0.5726744186046512,0.6609836065573771,0.6609836065573771,0.4341959997179185,0.06871404498815536,0.08060652762651443,0.012613261326132613,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.16911116242408752,0.303808183783095,1.3760000205039977,0.24770136250817876
36,0.9076441809779308,0.0036349307180794537,0.00936526121174703,0.001445607100680211,0.916250867921798,0.6191860465116279,0.6634016393442623,0.6634016393442623,0.4319933154887043,0.06955624371767044,0.08238997310400009,0.06081008100810081,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.17502078413963318,0.31442481851322995,1.3760000205039977,0.2537632977307169
37,0.916274118618887,0.0038889691302339074,0.01595838844287591,0.002221018677104081,0.9285864839788343,0.5668604651162791,0.6603688524590164,0.6603688524590164,0.43713475176023603,0.06917685270309448,0.08034732192754745,-0.0011761176117611762,0.5,0.5,0.05000000074505806,0.20516753196716309,0.3685834475071034,1.72,0.2634529786678564
38,0.9165752940490598,0.0038042995910786215,0.009379596189885844,0.002162738913120549,0.9255019436117078,0.5901162790697675,0.660327868852459,0.660327868852459,0.43674238255160025,0.06919552385807037,0.0806041806936264,0.004704470447044705,0.5,0.5,0.05000000074505806,0.12729361653327942,0.2286829674151005,1.72,0.23590399377188212
39,0.9123929201579485,0.003703225731322939,0.01073615582751446,0.002091102590250065,0.921882441786469,0.5697674418604651,0.6629918032786886,0.6629918032786886,0.44138124761158704,0.06874467432498932,0.08097276836633682,0.05576957695769577,0.5,0.5,0.05000000074505806,0.17971420288085938,0.3228565447403236,1.72,0.26170076591198654
40,0.9137206429340801,0.003820776787670482,0.012361583528948611,0.0020530946365725556,0.9241328258983424,0.5755813953488372,0.662172131147541,0.662172131147541,0.45220430809121503,0.06973958760499954,0.08262205868959427,0.031983198319831985,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.1305239200592041,0.23448620732671688,2.064000082015991,0.24897728413148126
41,0.9163001072211344,0.003827703830434895,0.009651727607992829,0.0016684579409155078,0.9252873649362658,0.561046511627907,0.6608196721311476,0.6608196721311476,0.4509627519756108,0.0695945993065834,0.08137726783752441,0.027734773477347735,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.15178444981575012,0.27268074658134556,2.064000082015991,0.25569472705191687
42,0.9071468964951938,0.0038155163905476447,0.01016703052598922,0.0030249662269822885,0.9166509206177759,0.5813953488372093,0.6625409836065573,0.6625409836065573,0.4513214748021251,0.06969741731882095,0.08237875252962112,0.03209120912091209,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.12633034586906433,0.22695245177797874,2.064000082015991,0.24712820078620568
43,0.9047918436957187,0.003805148913372369,0.01319163133863543,0.0017084398867035682,0.9155344894674958,0.563953488372093,0.662827868852459,0.662827868852459,0.4509706304275581,0.06972698122262955,0.08170836418867111,0.021734173417341733,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.10134436190128326,0.18206513446270334,2.064000082015991,0.23697469600296675
44,0.9047618703763993,0.0036590603518024943,0.012254813350126391,0.0019236707300821808,0.9149330717618348,0.5726744186046512,0.6624180327868853,0.6624180327868853,0.4522741423406904,0.06942388415336609,0.0806136205792427,0.017545754575457546,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.13029199838638306,0.23406956006825264,2.064000082015991,0.24747814400514112
45,0.9015916380725923,0.0037826151323703226,0.015087727640495926,0.0018729746902789004,0.9132927138297284,0.5552325581395349,0.6624180327868853,0.6624180327868853,0.4513744792361778,0.06917896866798401,0.08013026416301727,0.018733873387338736,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.0798519104719162,0.14345394794961042,2.064000082015991,0.22911396822079574
46,0.9046670892199532,0.0037148904559187223,0.012753096516015099,0.0017064525001514398,0.9150998181984072,0.563953488372093,0.6637295081967213,0.6637295081967213,0.45366542912881824,0.06929422169923782,0.08061447739601135,0.01002100210021002,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.1305239200592041,0.23448620732671688,2.064000082015991,0.24736551292456035
47,0.9051438315969998,0.0036694551608143526,0.008903946910725265,0.0018094499122168197,0.913627142788934,0.561046511627907,0.6636065573770492,0.6636065573770492,0.4542738490083684,0.06918057054281235,0.0804709643125534,0.03396339633963397,0.6000000238418579,0.6000000238418579,0.05999999865889549,0.1466965675354004,0.26354036665172903,2.064000082015991,0.25581395216532526
48,0.9095243762751095,0.0037174933374340296,0.00830339463274987,0.0015729352837565859,0.9177081604472926,0.563953488372093,0.6642622950819672,0.6642622950819672,0.45884090370693387,0.06928201019763947,0.08020342886447906,0.02549054905490549,0.699999988079071,0.699999988079071,0.07000000029802322,0.14163199067115784,0.25444185489946014,2.4079999589920043,0.2579737874575631
49,0.907990418496679,0.003716863733792647,0.00579243110584431,0.0018020630007815838,0.9149639127684421,0.561046511627907,0.6634016393442623,0.6634016393442623,0.45843774662655823,0.06909932941198349,0.07975781708955765,0.03775577557755776,0.699999988079071,0.699999988079071,0.07000000029802322,0.16811613738536835,0.3020206214158404,2.4079999589920043,0.2685548005809541
50,0.8993203425016559,0.0037609635046912267,0.011734891499652237,0.0016040159656559346,0.9092695478533135,0.5668604651162791,0.6644672131147541,0.6644672131147541,0.46592364375333073,0.069303959608078,0.07994169741868973,0.009912991299129913,0.800000011920929,0.800000011920929,0.07999999821186066,0.1547282189130783,0.2779692274250482,2.7520000410079954,0.2669546015798131
51,0.8996067193687939,0.003794902685617448,0.0080503698621617,0.0016452761287762798,0.9077558615168587,0.5406976744186046,0.6654918032786885,0.6654918032786885,0.47079340401576175,0.06930876523256302,0.07979343831539154,0.006456645664566457,0.8999999761581421,0.8999999761581421,0.09000000357627869,0.1773548126220703,0.31861790041263177,3.0959999179840088,0.27968660732817135
52,0.9095341211459675,0.0038168402903972836,0.011830152516238025,0.002170646772147385,0.919700165263942,0.563953488372093,0.6648360655737705,0.6648360655737705,0.4642255097275325,0.06926028430461884,0.07972485572099686,0.036195619561956195,0.800000011920929,0.800000011920929,0.07999999821186066,0.1499093770980835,0.26931217866040036,2.7520000410079954,0.2671722010428469
