epoch,train_l_cls,train_l_score,train_l_rank,train_l_fail,train_total,feas_acc,auc,roc_auc,pr_auc,score_mae,score_rmse,score_spearman,topk_hit,precision_at_k,recall_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,composite
1,0.2692080384395162,0.005803191696568469,0.011650574011880844,0.4965911389740764,0.38015474452347053,0.7093023255813954,0.6157377049180328,0.6157377049180328,0.34221866658515154,0.06949372589588165,0.08031579107046127,0.15921992199219923,0.20000000298023224,0.20000000298023224,0.019999999552965164,0.0,0.0,0.6880000102519989,0.1588094586991701
2,0.2620852567621919,0.005636087705602594,0.006051793694496155,0.04694472993800386,0.2801361894998394,0.39825581395348836,0.6370491803278688,0.6370491803278688,0.3767722038210783,0.06980910152196884,0.08122142404317856,0.13107710771077108,0.10000000149011612,0.10000000149011612,0.009999999776482582,0.0,0.0,0.34400000512599943,0.1668165922324532
3,0.2547575223152755,0.0053465800459084455,0.01641267696853544,0.02419247637029554,0.2731489346164172,0.29069767441860467,0.6396311475409836,0.6396311475409836,0.3782058858837763,0.07058712840080261,0.08243769407272339,0.019753975397539755,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0,0.0,1.0320000410079955,0.16225775169209883
4,0.253927327570368,0.0048571603952861225,0.008421971233653241,0.019195206616012775,0.26683451699428873,0.7093023255813954,0.6352459016393442,0.6352459016393442,0.3715712015144733,0.06989513337612152,0.0812242329120636,0.07895589558955896,0.20000000298023224,0.20000000298023224,0.019999999552965164,0.08142807334661484,0.14628552437215134,0.6880000102519989,0.19178117490506505
5,0.25116567484668045,0.0047529454468978475,0.011675944215938693,0.012318393032326073,0.2642202709541946,0.7093023255813954,0.6438524590163934,0.6438524590163934,0.381676433975046,0.06941810250282288,0.08031585067510605,0.09234923492349235,0.20000000298023224,0.20000000298023224,0.019999999552965164,0.11916957050561905,0.21408811966374822,0.6880000102519989,0.21072312088100686
6,0.24912891622449532,0.004834790383923615,0.013565657843576103,0.009248318291864678,0.2625961968156158,0.4563953488372093,0.6459836065573771,0.6459836065573771,0.3882184892936649,0.07043566554784775,0.08221333473920822,0.0911011101110111,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.11916957050561905,0.21408811966374822,1.0320000410079955,0.21621513046015106
7,0.24904703458801644,0.00471226817767945,0.011874046573629145,0.00635488077494331,0.2609673015406874,0.5,0.6505737704918033,0.6505737704918033,0.3934808171940471,0.0695122480392456,0.08029429614543915,0.09677767776777678,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.08142807334661484,0.14628552437215134,1.0320000410079955,0.2053271993276611
8,0.2462344262443605,0.0045275958340813514,0.01474012800904571,0.005115202322724412,0.2591551256472947,0.29069767441860467,0.6599590163934427,0.6599590163934427,0.4076027853533601,0.06955894827842712,0.08035410940647125,0.06883888388838884,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.09527449309825897,0.17116061585840203,1.0320000410079955,0.21315712550069763
9,0.24493037115355007,0.004373883485000153,0.012761121218810316,0.0038995062378922203,0.2564647178180882,0.5726744186046512,0.6599590163934427,0.6599590163934427,0.41010103752964217,0.0692577064037323,0.08022645115852356,0.0816921692169217,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.14641551673412323,0.26303545891966185,1.0320000410079955,0.23381672351631574
10,0.2450359011771249,0.004107317891063504,0.00858071971623624,0.003076120713901263,0.2540488003707323,0.5755813953488372,0.6593442622950819,0.6593442622950819,0.41166389875629905,0.06951089203357697,0.08045931160449982,0.05996999699969997,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.19723527133464813,0.354333142196002,1.0320000410079955,0.2505291874405243
11,0.24029170611842735,0.004101937806584918,0.011744876804410434,0.004603767235091597,0.25118683522841967,0.5872093023255814,0.6618032786885246,0.6618032786885246,0.4114031120184886,0.06982360035181046,0.08185036480426788,0.05780978097809781,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.22738632559776306,0.40849950770090704,1.0320000410079955,0.26104212424422096
12,0.2389673016598967,0.004101042341837873,0.008577525249270142,0.003043851666305153,0.24796587766193953,0.563953488372093,0.659139344262295,0.659139344262295,0.4094695105592343,0.0710829645395279,0.08423709869384766,0.04700870087008701,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.12366963922977448,0.22217249260748262,1.3760000205039977,0.22492317256397806
13,0.23867884253869293,0.0039382779982215805,0.004933836946233374,0.0037327544672078774,0.24583059011912736,0.5843023255813954,0.6609426229508196,0.6609426229508196,0.41166381683505204,0.07339095324277878,0.08812864869832993,0.052505250525052505,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.14572028815746307,0.2617864808619062,1.3760000205039977,0.23427334769068642
14,0.2379219817822097,0.004259050442058532,0.008174790252671867,0.0018233584190459281,0.24663309679656734,0.563953488372093,0.6587295081967213,0.6587295081967213,0.4103821466375251,0.0698157548904419,0.0820389911532402,0.07348334833483348,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1451454609632492,0.2607538038738237,1.3760000205039977,0.23565195399503724
15,0.2374750253607015,0.0041031422299623,0.008414634793508248,0.0019589657212996884,0.2461772778483688,0.5668604651162791,0.6600819672131147,0.6600819672131147,0.4119837437380241,0.07012943178415298,0.08238490670919418,0.10144614461446144,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.18281403183937073,0.3284253871066359,1.3760000205039977,0.25262318910976206
16,0.23796752486072603,0.004429613395601694,0.010154025903979286,0.002174010981240722,0.24790895253908438,0.5813953488372093,0.6604508196721312,0.6604508196721312,0.41282682505361246,0.07082436978816986,0.08326302468776703,0.07330333033303331,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.1959652304649353,0.35205151392009815,1.3760000205039977,0.25487136557054707
17,0.23649228669580866,0.004007656580470808,0.007158532616544942,0.0020601988376927425,0.24449124785720325,0.5668604651162791,0.6595491803278688,0.6595491803278688,0.4153464350295824,0.06933077424764633,0.0803862139582634,-0.0028682868286828683,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.03520697355270386,0.0632493239253076,1.3760000205039977,0.1905016098458053
18,0.23445559183105094,0.003999966778792441,0.008730795784074753,0.0018671288462279395,0.2431943817216842,0.563953488372093,0.6581967213114754,0.6581967213114754,0.41223782822232563,0.06922892481088638,0.08018922060728073,0.1267086708670867,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.03766856715083122,0.06767157654032864,1.3760000205039977,0.20310031341548376
19,0.2372407238991534,0.0041225891527872476,0.008812927564636606,0.0017769173051032131,0.24612515969354598,0.5755813953488372,0.6600409836065574,0.6600409836065574,0.41727314567834317,0.06950835883617401,0.08043717592954636,0.03865586558655865,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.15071545541286469,0.2707602982599007,1.3760000205039977,0.2369269042137524
20,0.23595661291333495,0.003939906763080813,0.0077996897648592465,0.002088362985141728,0.24421403813557546,0.563953488372093,0.6587295081967213,0.6587295081967213,0.41496060055636674,0.06937717646360397,0.08097657561302185,0.1048064806480648,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.03748698532581329,0.06734536481263455,1.3760000205039977,0.2019339609816592
