model,split_mode,feature_version,n_train,n_val,train_feasible_rate,best_epoch,roc_auc,pr_auc,recall_at_k,precision_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,score_spearman,composite,gap_roc_auc,gap_pr_auc,gap_recall_at_k,gap_composite,checkpoint_path
mlp,random,v2,1949,344,0.2919,29,0.7228,0.4602,0.0505,0.5,0.3157,0.5645,1.7374,-0.053,0.3069,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer_v3\mlp_random\mlp_best.pt
mlp,stratified,v2,1949,344,0.2914,100,0.6953,0.471,0.06,0.6,0.2546,0.4574,2.064,0.2001,0.3179,0.0275,-0.0108,-0.0095,-0.011,checkpoints/layout_models_transfer_v3\mlp_stratified\mlp_best.pt
mlp,seed_holdout,v2,2049,244,0.2772,35,0.7971,0.7174,0.08,0.8,0.4748,0.8636,1.952,0.1889,0.5026,-0.0743,-0.2572,-0.0295,-0.1957,checkpoints/layout_models_transfer_v3\mlp_seed_holdout\mlp_best.pt
mlp,region_holdout,v2,2012,281,0.2669,53,0.5361,0.4662,0.0229,0.3,0.4079,0.7167,0.6435,0.0728,0.344,0.1867,-0.006,0.0276,-0.0371,checkpoints/layout_models_transfer_v3\mlp_region_holdout\mlp_best.pt
deepsets,random,v2,1949,344,0.2919,34,0.7713,0.5553,0.0808,0.8,0.4007,0.7167,2.7798,0.0063,0.3903,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer_v3\deepsets_random\deepsets_best.pt
deepsets,stratified,v2,1949,344,0.2914,104,0.7393,0.5702,0.09,0.9,0.421,0.7564,3.096,0.3206,0.4384,0.032,-0.0149,-0.0092,-0.0481,checkpoints/layout_models_transfer_v3\deepsets_stratified\deepsets_best.pt
deepsets,seed_holdout,v2,2049,244,0.2772,22,0.7858,0.7604,0.1,1.0,0.4579,0.8328,2.44,0.2963,0.5304,-0.0145,-0.2051,-0.0192,-0.1401,checkpoints/layout_models_transfer_v3\deepsets_seed_holdout\deepsets_best.pt
deepsets,region_holdout,v2,2012,281,0.2669,24,0.5743,0.5183,0.0382,0.5,0.364,0.6395,1.0725,0.2514,0.3718,0.197,0.037,0.0426,0.0185,checkpoints/layout_models_transfer_v3\deepsets_region_holdout\deepsets_best.pt
