epoch,train_l_cls,train_l_score,train_total,feas_acc,auc,roc_auc,pr_auc,score_mae,score_rmse,score_spearman,topk_hit,precision_at_k,recall_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,composite
1,0.9841623345359427,0.004287123401481353,0.9884494640788094,0.7093023255813954,0.66,0.66,0.4038318098891991,0.0707353800535202,0.08347639441490173,-0.10702670267026702,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0,0.0,1.0320000410079955,0.15983005348748724
2,0.9734048169167315,0.0039934090884463464,0.9773982255185236,0.5581395348837209,0.6578688524590164,0.6578688524590164,0.4046916227197915,0.07018955051898956,0.08232874423265457,0.015613561356135614,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0914759635925293,0.164336558039627,1.0320000410079955,0.20530531663028986
3,0.9283673479908803,0.004005135781299628,0.932372477210936,0.5668604651162791,0.6579098360655737,0.6579098360655737,0.40865585576301544,0.06949455291032791,0.0800171047449112,0.0511011101110111,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0,0.0,1.0320000410079955,0.1775724531151416
4,0.9223598427459841,0.003763328495313276,0.9261231647163141,0.5668604651162791,0.6574590163934426,0.6574590163934426,0.4056338921152593,0.06913840025663376,0.0811515748500824,-0.021266126612661265,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.0665961354970932,0.11963994973677124,1.0320000410079955,0.19305493393102618
5,0.9293803093863315,0.003705842489162918,0.9330861500052156,0.5552325581395349,0.6577459016393442,0.6577459016393442,0.4089819778713687,0.0693412721157074,0.07986532151699066,0.026006600660066007,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.12207560241222382,0.2193088056486703,1.0320000410079955,0.21905521214312246
6,0.9186406028075297,0.003732317498480504,0.9223729235226991,0.561046511627907,0.6577868852459017,0.6577868852459017,0.4105265210753081,0.0695716068148613,0.08076759427785873,0.010129012901290129,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.05067235231399536,0.09103287508559686,1.0320000410079955,0.19243008453620594
7,0.9226462782406416,0.0037968074559371493,0.9264430833644555,0.5668604651162791,0.6604508196721312,0.6604508196721312,0.42426827638056336,0.06915397942066193,0.07972604781389236,0.0696069606960696,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.0,0.0,1.3760000205039977,0.1886680063536114
8,0.9146067734624519,0.003724256986523139,0.918331033870822,0.561046511627907,0.6608606557377049,0.6608606557377049,0.42258841874986647,0.06925492733716965,0.08185765892267227,0.031683168316831684,0.30000001192092896,0.30000001192092896,0.029999999329447746,0.10134436190128326,0.18206513446270334,1.0320000410079955,0.21761671102300476
9,0.9101669719961824,0.003617105532254352,0.9137840798643769,0.6075581395348837,0.6586065573770492,0.6586065573770492,0.4152711802376756,0.06903176009654999,0.0814390555024147,0.09527752775277527,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.050063181668519974,0.08993850009128547,1.3760000205039977,0.20562392462038398
10,0.9048869111498848,0.0036080158678204067,0.9084949258898125,0.5901162790697675,0.6649590163934426,0.6649590163934426,0.4254545996407878,0.06843683868646622,0.08034972846508026,0.046384638463846384,0.4000000059604645,0.4000000059604645,0.03999999910593033,0.10073518753051758,0.18097075277590835,1.3760000205039977,0.22301445398966055
