model,split_mode,feature_version,n_train,n_val,train_feasible_rate,train_positive_count,train_negative_count,effective_pos_weight,best_epoch,roc_auc,pr_auc,recall_at_k,precision_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,score_spearman,composite,gap_roc_auc,gap_pr_auc,gap_recall_at_k,gap_composite,checkpoint_path
deepsets,stratified,v2,1949,344,0.2914,568,1381,2.4313,25,0.7709,0.5639,0.08,0.8,0.3402,0.5987,2.752,0.2297,0.3923,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer_v3_auto_seed1\deepsets_stratified\deepsets_best.pt
deepsets,region_holdout,v2,2221,72,0.2945,654,1567,2.396,40,0.6145,0.5061,0.4286,0.6,0.2255,0.5812,3.0857,0.4901,0.4963,0.1564,0.0578,-0.3486,-0.104,checkpoints/layout_models_transfer_v3_auto_seed1\deepsets_region_holdout\deepsets_best.pt
